iteration,alpha,beta,sigma,rho,Q,bestLength,bestCurrent,nBestPathAnts,nBestCurrentPathAnts
50,1.0,2.0,1.0,0.9490000000000001,0.1,454.49521965216684,489.95232294794863,0,1
50,1.0,2.0,1.0,0.9500000000000001,0.1,432.16075426430564,479.2940856291664,0,1
50,1.0,2.0,1.0,0.9510000000000001,0.1,404.5163345780248,509.9681340282111,0,1
50,1.0,2.0,1.0,0.9520000000000001,0.1,446.5284367272613,495.0481395204142,0,1
50,1.0,2.0,1.0,0.9530000000000001,0.1,440.2813650679256,486.9191192286409,0,1
50,1.0,2.0,1.0,0.9540000000000001,0.1,436.0323773969055,497.1913795667044,0,1
50,1.0,2.0,1.0,0.9550000000000001,0.1,433.610340447098,470.0340900230495,0,1
50,1.0,2.0,1.0,0.9560000000000001,0.1,446.9558444264419,477.28365289735405,0,1
50,1.0,2.0,1.0,0.9570000000000001,0.1,439.3171921907194,494.885148475228,0,1
50,1.0,2.0,1.0,0.9580000000000001,0.1,445.40225119699295,505.22963053958705,0,1
50,1.0,2.0,1.0,0.9590000000000001,0.1,433.4115355940573,503.7189567767665,0,1
50,1.0,2.0,1.0,0.96,0.1,426.6557010587512,471.52371617785957,0,1
50,1.0,2.0,1.0,0.9610000000000001,0.1,439.30152488378127,494.2768865411861,0,1
50,1.0,2.0,1.0,0.962,0.1,445.2207297729087,468.4620874232828,0,1
50,1.0,2.0,1.0,0.9630000000000001,0.1,450.4189176103005,478.42408323898155,0,1
50,1.0,2.0,1.0,0.964,0.1,423.6412450992109,496.50454022535354,0,1
50,1.0,2.0,1.0,0.9650000000000001,0.1,441.28458810586557,444.3076319969508,0,1
50,1.0,2.0,1.0,0.966,0.1,429.70379241416475,457.16239289042454,0,1
50,1.0,2.0,1.0,0.9670000000000001,0.1,416.9655576719972,483.7116409631555,0,1
50,1.0,2.0,1.0,0.968,0.1,419.8600663412649,506.3318407953742,0,1
50,1.0,2.0,1.0,0.9690000000000001,0.1,434.56179822722646,492.2478173256366,0,1
50,1.0,2.0,1.0,0.97,0.1,434.9448997646883,496.9165025727525,0,1
50,1.0,2.0,1.0,0.9710000000000001,0.1,429.0209957930243,485.44715691925376,0,1
50,1.0,2.0,1.0,0.972,0.1,411.1779222167832,466.99880923950167,0,1
50,1.0,2.0,1.0,0.973,0.1,448.76854929517805,492.1846350318346,0,1
50,1.0,2.0,1.0,0.974,0.1,434.71327526817566,493.2295610633958,0,1
50,1.0,2.0,1.0,0.975,0.1,453.5003326358623,490.1163902114584,0,1
50,1.0,2.0,1.0,0.976,0.1,452.7878785414786,513.5041755134126,0,1
50,1.0,2.0,1.0,0.977,0.1,417.4317995169239,471.04487937814,0,1
50,1.0,2.0,1.0,0.978,0.1,441.3761018812549,474.69826845243045,0,1
50,1.0,2.0,1.0,0.979,0.1,469.8762457740806,524.3980897759968,0,1
50,1.0,2.0,1.0,0.98,0.1,430.3104793226318,493.7737548570306,0,1
50,1.0,2.0,1.0,0.981,0.1,411.9966986745908,499.05609819543747,0,1
50,1.0,2.0,1.0,0.982,0.1,444.4232549668702,506.9664085141786,0,1
50,1.0,2.0,1.0,0.983,0.1,440.8365107885004,507.33345395678174,0,1
50,1.0,2.0,1.0,0.984,0.1,405.1217824899949,483.12768914612195,0,1
50,1.0,2.0,1.0,0.985,0.1,447.3103095217314,488.8900964028107,0,1
50,1.0,2.0,1.0,0.986,0.1,443.7606997864781,462.82693105413006,0,1
50,1.0,2.0,1.0,0.987,0.1,437.2688930105732,471.4132353477426,0,1
50,1.0,2.0,1.0,0.988,0.1,450.9283416298021,520.9627014574601,0,1
50,1.0,2.0,1.0,0.989,0.1,441.85491766267336,490.81896321275576,0,1
50,1.0,2.0,1.0,0.99,0.1,426.69452371700766,495.0464992039934,0,1
